World bank projects, downloaded 03-05-2021 03:17:38 am								
Project Name	Country	Project Id	Commitment Amount	Status	Approval Date	Last updated Date	Project Development Objective	Consultant Services Required
Public Enterprise Reform Adjustment Loan (PERAL) Project	Argentina	P005993	300.00	Cerrado	1991-02-12T00:00:00Z			
Public Enterprise Reform Execution Project (PEREL)	Argentina	P006028	23.00	Cerrado	1991-02-12T00:00:00Z			
Water Supply and Sewerage Sector Project	Argentina	P005977	100.00	Cerrado	1990-12-18T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Development Project	Argentina	P006005	200.00	Cerrado	1990-12-18T00:00:00Z	2013-01-15T00:00:00Z		
Tax Administration Technical Assistance	Argentina	P006013	6.50	Cerrado	1989-01-24T00:00:00Z			
Electric Power Sector Loan Project	Argentina	P005986	252.00	Cerrado	1988-10-27T00:00:00Z			
Trade Policy Loan Project (02)	Argentina	P005987	300.00	Cerrado	1988-10-27T00:00:00Z			
Housing Sector Project (01)	Argentina	P006002	300.00	Cerrado	1988-10-27T00:00:00Z			
Social Sector Management Technical Assistance Loan Project	Argentina	P005991	28.00	Cerrado	1988-07-26T00:00:00Z			
Agricultural Credit Project (02)	Argentina	P005985	106.50	Cerrado	1988-06-23T00:00:00Z			
Banking Sector Loan (BSL) Project	Argentina	P005976	400.00	Cerrado	1988-03-29T00:00:00Z			
Municipal Development Project	Argentina	P005963	120.00	Cerrado	1988-03-22T00:00:00Z			
SEGBA V	Argentina	P005968	276.00	Cerrado	1987-06-23T00:00:00Z	2015-08-14T00:00:00Z		
Trade Policy & Export Diversification Project	Argentina	P005970	500.00	Cerrado	1987-05-19T00:00:00Z			
Bahia Blanca I Port Project	Argentina	P005944	50.00	Cerrado	1987-05-05T00:00:00Z			
Small and Medium Scale Industry Credit Project	Argentina	P005966	125.00	Cerrado	1987-04-14T00:00:00Z			
Power Engineering Project	Argentina	P005962	14.00	Cerrado	1986-09-16T00:00:00Z			
Public Sector Management Technical Assistance Project	Argentina	P005961	18.50	Cerrado	1986-06-03T00:00:00Z			
REFINERY SUPP LOAN	Argentina	P005967	116.00	Cerrado	1986-05-20T00:00:00Z			
Agricultural Sector Loan Project	Argentina	P005956	350.00	Cerrado	1986-04-03T00:00:00Z			
Water Supply Project	Argentina	P005945	60.00	Cerrado	1985-12-10T00:00:00Z			
Gas Utilization and Technical Assistance Project	Argentina	P005949	180.00	Cerrado	1985-06-25T00:00:00Z			
Highway Project (05)	Argentina	P005943	100.00	Cerrado	1983-05-31T00:00:00Z			
Industrial Credit Project (02)	Argentina	P005940	100.00	Cerrado	1981-12-01T00:00:00Z			
Oil and Gas Credit Project	Argentina	P005941	100.00	Cerrado	1981-07-07T00:00:00Z			
Refinery Conversion Project	Argentina	P005942	200.00	Cerrado	1981-07-07T00:00:00Z			
Coal Exploration Project	Argentina	P005939	10.00	Cerrado	1980-12-09T00:00:00Z			
Vocational Training and Technical Education Project	Argentina	P005938	58.00	Cerrado	1980-10-07T00:00:00Z			
Oil and Gas Engineering Project	Argentina	P005936	27.00	Cerrado	1980-06-24T00:00:00Z			
Yacyreta Hydroelectric Project	Argentina	P005937	210.00	Cerrado	1979-10-16T00:00:00Z			
Railways Project (02)	Argentina	P005935	96.00	Cerrado	1979-03-27T00:00:00Z			
Agricultural Credit Project	Argentina	P005933	60.00	Cerrado	1978-05-09T00:00:00Z			
Grain Storage Project	Argentina	P005934	105.00	Cerrado	1978-02-21T00:00:00Z			
Industrial Credit Project	Argentina	P005930	100.00	Cerrado	1977-06-16T00:00:00Z			
Highway Project (04)	Argentina	P005932	105.00	Cerrado	1977-03-22T00:00:00Z			
Buenos Aires Power Project (04)	Argentina	P005931	115.00	Cerrado	1976-09-21T00:00:00Z			
Highway Project (03)	Argentina	P005928	67.50	Cerrado	1971-03-30T00:00:00Z			
Railway Project	Argentina	P005929	84.00	Cerrado	1971-03-30T00:00:00Z			
Argentina Results in Education Project	Argentina	P101197	100.00	Abandonado		2013-01-15T00:00:00Z	DON'T PUB DROPPED	
Argentina Integrated Water Resources Management	Argentina	P101242	50.00	Abandonado		2013-01-15T00:00:00Z	The objective is to assist Argentina in strengthening the capacity of its federal-level and provincial-level institutions and inter-jurisdictional organizations to move forward toward integrated water resources management, in line with the guiding principles for water policy.  The proposed Project aims to assist Argentina in strengthening the capacity of its federal-level and provincial-level institutions and inter-jurisdictional organizations to move forward towards integrated water resources management, in line with the guiding principles for water policy, through: (i) formulating participatory basin water resources management plans in selected basins, (ii) establishing a national water resources monitoring system, (iii) improving water resources management information systems for strategic planning and policy making, and (iv) initiating demonstration projects (or leading models with potential for replication in other parts of the country) to promote integrated water resources management in selected basins. It is proposed the Project is financed by a specific investment loan of about US$100 million equivalent, to be disbursed over 5-6 years, and would consist of the following three components: Component A: Water Resources Monitoring and Information Systems. This component will support the following sub-components: -  Establishing a comprehensive water resources monitoring system, by developing guidelines to harmonize water monitoring across provinces/basins; setting up a national regulatory framework for water quality based on the ongoing work on guidelines on water quality (niveles guÌa de calidad de agua ambient); strengthening and upgrading data gathering capabilities of the base resource (all sources, surface water, groundwater resources, coastal waters and atmospheric interface; and all facets, quantity and quality), data transmission, and transformation of data into information to support water resources management decisions; upgrading capabilities of regional laboratory for water quality analysis; and strengthening flood forecasting and strengthening reporting capabilities. This sub-component will also assist in setting up a management approach so as to ensure the long-term sustainability of the monitoring networks, paying special attention to their operation, maintenance, budget requirements, and availability of human resources. -  Improving water resources information systems, by assisting in establishing uniform protocols for data gathering, data transmission, data storage, data retrieval and reporting capabilities of all the monitoring systems mentioned above. Protocols will include provisions to provide quality assurance and quality guaranties across the national territory. This component will also assist in setting up an integrated water resources dynamic information framework (DIF) that manages climate, land use, water, and related socio-economic data and to provide technicians and decision-makers with reliable data and information for water resources monitoring and planning and management. Component B: IWRM Institutional Capacity Building. This component will support the following sub-components: -  Strengthening planning capacity of federal and provincial level water administrations and river basin commissions with delegated planning responsibilities by assisting them in the formulation of harmonized provincial water resources management strategies and river basin management plans aimed achieving sustainable development and use of the resource base.  Preparation of basic socio-economic/environmental studies and prospective modeling studies will also be supported under this sub-component. The planning process would follow a participatory approach in dealing with cross-cutting issues and in taking into account the ecosystems and socio-economic structures of each basin. The Project will provide financial resources to support the mobilization of different actors. -  Strengthening the institutional framework of pa	
Rosario Metropolitan Area Infrastructure	Argentina	P101421	200.00	Abandonado		2018-01-18T00:00:00Z	The overarching development objectives for the proposed program are: (i) to reduce logistics costs for cargo shipped to and from the Port of Rosario by improving accesses to port facilities and increasing the railway‚Äôs modal share in freight transport; and (ii) to improve the quality of life in the Metropolitan Area of Rosario by reducing traffic congestion and assigning the urban land released by the project (i.e. railway tracks, warehousing and maneuver facilities) to improve the quality of the urban environment.	
Program for Smart Growth via Innovation and Support to SMEs	Argentina	P175143	120.00	Propuesto		2021-04-22T00:00:00Z	The Proposed Program aims to support inputs required to diversify and unleash sources of growth, via productivity and innovation-led  growth, and with a focus on SMEs, efficiency and financial sustainability.	
Buenos Aires &#8211; Mitre Passenger Railway Line Modernization Project	Argentina	P175138	347.00	Propuesto		2021-03-29T00:00:00Z	The Project Development Objectives are to: (a) improve the reliability and safety of the Mitre Line; and (b) increase accessibility in the Metropolitan Area of Buenos Aires.	Yes
Province of Buenos Aires Housing and Urban Infrastructure Project	Argentina	P175855	70.00	Propuesto		2021-04-20T00:00:00Z	Increase access to sustainable housing for low-income households in the Province of Buenos Aires and strengthen institutional capaci ty for the design and implementation of housing policies.	Yes
Investing in the first 1,000 days in AR	Argentina	P176156	300.00	Propuesto		2021-04-05T00:00:00Z	To support early childhood development among vulnerable populations in the first 1,000 days of life.	
Matanza Riachuelo Basin Sustainable Development Project Second Additional Financing	Argentina	P176034	265.00	Propuesto		2021-04-28T00:00:00Z	The overall development objective of the proposed APL program supports the Government's Integrated Basin Cleanup whilesimultaneously  improving sanitary conditions along the banks of La Plata River and providing a long-term and cost-effectivesolution for safe dispo sal of wastewater from the Buenos Aires Metropolitan Area (AySAs concession area). The two stage APL programthat contributes to this  objective and the allocation of works and activities under each APL has been specifically designed toensure that APL-1 can be free- standing, with no stranded assets at the end of the first stage.  The project (APL-1) development objectives contribute to the o verall program development objective by (i) improving sewerageservices in the M-R River Basin and other parts of the Province and Ci ty of Buenos Aires by expanding transport and treatmentcapacity; (ii) supporting a reduction of industrial discharges to the M-R Riv er, through the provision of industrial conversiongrants to small and medium enterprises; (iii) promoting improved decision-making f or environmentally-sustainable land use anddrainage planning, and piloting urban drainage and land use investments, in the M-R River  Basin; and (iv) strengthening ACUMAR#sinstitutional framework for ongoing and sustainable clean-up of the M-R River Basin.	
ARGENTINA: Sustainable Recovery of Landscapes and Livelihoods Project	Argentina	P175669	45.00	Propuesto		2021-04-09T00:00:00Z	To improve the management of ecosystems, the livelihoods of local communities and the resilience in selected conservation and produc tion landscapes and seascapes	
Urban Mobility in Metropolitan Buenos Aires for Economic Recovery	Argentina	P174465	150.00	Propuesto		2021-04-14T00:00:00Z	The Project Development Objective (PDO) is to improve urban transport services, mobility and accessibility to jobs in the Metropolit an Area of Buenos Aires in the COVID 19 Recovery Phase.	
Proyecto de Fortalecimiento de la Capacidad EstadÌstica en Argentina	Argentina	P158443	50.00	Abandonado		2017-08-04T00:00:00Z	The objective of the proposed operation is to strengthen the capacity of INDEC to produce and disseminate quality statistics and to fulfill its mandate as coordinator of the National Statistical System.	
Proyecto de Abastecimiento de Agua y Saneamiento: Plan Belgrano	Argentina	P159928	125.00	Abandonado		2018-05-14T00:00:00Z	The PDO is to increase access to water supply and sanitation services, to improve the quality of services, and the financial perform ance of the WSS operators, in the provinces that form part of Plan Belgrano.	TBD
 Argentina Open Data Readiness Assessments	Argentina	P161164	0.00	Abandonado		2017-01-12T00:00:00Z	The objective is to support Argentina advance and strengthen the country‚Äôs Open Data initiative, including open access to their national statistical data and other data. By opening data, Argentina will increase government transparency, provide information for evidence-based decision-making, improve public sector service delivery, increase economic opportunities and foster citizen engagementin public policies and projects. Open Data helps increase the use of statistics that governments produce, a key action item in the Busan Action Plan for Statistics.	
Capital Market, Infrastructure Bond Liquidity Facility	Argentina	P165178	450.00	Abandonado		2018-07-23T00:00:00Z	To generate the use of private sector financial instruments for the funding of public/private infrastructure projects.	
AR Housing Finance Development	Argentina	P165563	150.00	Abandonado		2018-07-23T00:00:00Z	Develop a sound and growing residential mortgage market with access for lower income population	Yes
Argentina Infrastructure Guarantee Facility for Private Financial Market Funding	Argentina	P166358	0.00	Abandonado		2018-07-23T00:00:00Z	To create a credit enhancement facility for an infrastructure investment fund, in order to attract majority private sector financing  for infrastructure projects contracted under public private partnerships.	
Health Insurance Reform Project (02)	Argentina	P053704	150.00	Abandonado		2013-01-15T00:00:00Z	Project Development Objective (Note: will be disclosed in the MOS)  SISTER PROJECT TO HEALTH INSURANCE REFORM AR-40909.  IMPROVE THE EFFICIENCY AND EQUITY OF THE SOCIAL HEALTH INSURANCE SYSTEM THROUGH A SERIES OF POLICY REFORMS. Board Schedule Comments	
REFORM OF JUSTICE SYSTEM	Argentina	P055479	50.00	Abandonado		2013-01-15T00:00:00Z	THE PROJECT WILL IMPROVE THE ADMINISTRATION, ESTABLISH TRAINING FACILITIES, IMPROVE ACCESS TO JUSTICE, AND THE ROLE OF THE LEGAL PROFESSION AS THEY RELATE TO IMPLEMENTATION OF THE JUDICIAL COUNCIL.	
Argentina Mining Decontamination Project (PRAMU)	Argentina	P057124	30.00	Abandonado		2013-01-15T00:00:00Z	The development objective of this project is to develop the Argentine Atomic Energy National Commission (CNEA)'s environmental management capacity to plan and carry out technically sound remediation interventions at uranium mining and milling sites under the agency's responsibility, in a transparent and cost-effective manner, generating public credibility and participative support.	
ARGENTINA DRAINAGE INFRASTRUCTURE MANAGEMENT	Argentina	P057453	100.00	Abandonado		2013-01-15T00:00:00Z	THE PROPOSED INVESTMENTS WILL COMPLEMENT THE INVESTMENTS MADE UNDER THE FLOOD REHABILITATION PROJECT AND THE FLOOD PROTECTION PROJECT BY PROVIDING ADEQUATE DRAINAGE INFRASTRUCTURE IN KEY ECONOMICALLY ACTIVE URBAN AREAS.	
Education Sector Support Project	Argentina	P081395	400.00	Abandonado		2013-01-15T00:00:00Z	Help to ensure the provision of primary and secondary education during the current economic and social crisis in Argentina, and support the overall effort to promote fiscal equilibrium of provincial governments.  This would be achieved by providing financial support for the Federal Government so that it might channel funds to participating provinces to meet the payroll for teachers over a limited period of time, within the framework of the Program for Fiscal Equilibrium.	
Sustainable Industrial Development	Argentina	P110612	40.00	Abandonado		2014-09-24T00:00:00Z	The objective is to support small and medium enterprises in Argentina with inadequate access to credit to improve their compliance with environmental regulations, while simultaneously boosting their industrial competitiveness.	
Sustainable Forestry Development	Argentina	P088258	25.00	Abandonado		2013-01-15T00:00:00Z	Promote mainstreaming of biodiversity into the plantation forestry sector of Argentina.	
BA ity Infrastructure DO NOT USE	Argentina	P088624	130.00	Abandonado		2013-01-15T00:00:00Z	All 54 documents dating from November 30, 2003 to December 16, 2004 were transferred to folder P088220 by task manager's request on January, 2005.	
Improving tax administration in Buenos Aires province	Argentina	P121603	50.00	Abandonado		2013-01-15T00:00:00Z	To increase tax compliance in the Province of Buenos Aires through improvements in ARBA#s management and service model. The objective will be achieved by: (i) the implementation of the single taxpayer account; (ii) institutional strengthening of ARBA, (iii) the improvement in tax evasion detection, control and monitoring, and (iv) the enhancement of taxpayers# services.	
Foundations for Performance-Informed Budgeting	Argentina	P092840	28.00	Abandonado		2013-01-15T00:00:00Z	The proposed project aims at promoting social inclusion by ensuring greater participation of poor and vulnerable groups in strategic planning and increasing responsiveness of public and private investment to their needs. Greater transparency and accountability in public expenditure management will help channel resources to the intended beneficiaries, who will help monitor and evaluate public spending, project results, ultimately helping promote greater social inclusion. Project implementation will make extensive use of consultations to give greater voice to the intended beneficiaries.	
PreparaciÛn para REDD del Fondo Cooperativo para el Carbono de los Bosques en Argentina	Argentina	P120414	3.80	Propuesto		2021-04-19T00:00:00Z	The Project Development Objective is to support Argentinas REDD+ readiness efforts, in particular those activities focusing on management arrangements, REDD+ Strategy development, and Strategic Environmental and Social Assessment.The key results expected from the proposed REDD+ readiness grant are:i.REDD+ Management arrangements have been strengthened through the establishment and functioning of Executive and Advisory Committees. ii.REDD+ strategic options are consulted and designed iii.A participatory SESA (Strategic Environmental and Social Assessment) and an ESMF (Environmental and Social management Framework) are prepared with feedback from key stakeholders.	
AR PROSAP3 - Third Provincial Agricultural Development Project	Argentina	P132416	500.00	Abandonado		2016-08-25T00:00:00Z	To increase productivity and sales for small and medium-scale producers supported by project activities. To reach its objective, the project will support capacity-building and investments geared toward a more efficient use of natural resources and energy, increased adaptation to climate change, long-term improvement in productivity and market access, overall contributing to an increased competitiveness and sustainability of agricultural production systems in the regional economies.	
Social Inclusion SWAp	Argentina	P127864	60.00	Abandonado		2014-04-28T00:00:00Z	The objective of the Project is to improve access to primary health and secondary education services among the underserved population and strengthen provincial public management systems in the Province of Salta.	
Buenos Aires Power Project (03)	Argentina	P005927	60.00	Cerrado	1969-10-07T00:00:00Z			
Road Project (02)	Argentina	P005926	25.00	Cerrado	1969-06-24T00:00:00Z			
El Chocon Power Project	Argentina	P005925	82.00	Cerrado	1968-12-17T00:00:00Z			
Buenos Aires Power Project (02)	Argentina	P005924	55.00	Cerrado	1968-01-25T00:00:00Z			
Balcarce Livestock Project	Argentina	P005923	15.30	Cerrado	1967-07-31T00:00:00Z			
Buenos Aires Power Project	Argentina	P005922	95.00	Cerrado	1962-01-23T00:00:00Z			
Road Project	Argentina	P005921	48.50	Cerrado	1961-06-30T00:00:00Z			
